Background	Genotype1	Genotype2	Sex	Replicate	Individual	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15
Sam	10514	Sam	M	rep1	1	0.35379	1.30533	0.34248	1.18416	0.26332	1.12116	0.36025	0.97092	0.41195	1.0113	0.51857	1.1357	0.65589	1.28432	0.78029	1.04523	0.75605	0.97738	1.06946	0.80775	0.99192	0.66397	1.82067	1.16801	2.14377	0.78675	2.01938	0.54604	1.17608	0.36187
Sam	10514	Sam	M	rep1	19	0.33117	1.25848	0.32148	1.1357	0.24071	1.06785	0.35218	0.91437	0.40226	0.95961	0.50242	1.09208	0.63489	1.24878	0.7609	1.0113	0.7399	0.94507	1.063	0.78836	0.99838	0.63974	1.83521	1.16478	2.13731	0.79806	2.03069	0.55896	1.19224	0.33925
Sam	10514	Sam	M	rep1	15	0.37318	1.29402	0.36025	1.17124	0.2714	1.11146	0.37641	0.95476	0.42649	0.99838	0.5315	1.12277	0.66074	1.26978	0.78029	1.03392	0.75767	0.9693	1.06785	0.8029	0.99192	0.66558	1.85137	1.15024	2.14539	0.78836	2.0323	0.53957	1.19709	0.34894
Sam	10514	Sam	M	rep1	11	0.35702	1.30048	0.34248	1.17932	0.26009	1.11954	0.36348	0.96607	0.41518	1.00646	0.52665	1.12923	0.65428	1.28271	0.77059	1.04361	0.74151	0.97899	1.06623	0.8126	0.99999	0.65751	1.8239	1.16639	2.11954	0.78352	2.00807	0.55088	1.18578	0.36025
Sam	10514	Sam	M	rep1	8	0.32794	1.26009	0.31502	1.13731	0.23747	1.07431	0.34571	0.92245	0.39418	0.96607	0.49272	1.09854	0.61712	1.25686	0.7399	1.02261	0.7189	0.95799	1.04523	0.8029	0.98061	0.6462	1.78675	1.17932	2.10339	0.80613	1.98545	0.57188	1.1777	0.36025
Sam	10514	Sam	M	rep1	4	0.33441	1.31502	0.32471	1.19224	0.23909	1.12923	0.34087	0.97415	0.38772	1.01776	0.50726	1.14216	0.63327	1.29402	0.76413	1.05169	0.73828	0.98384	1.06138	0.8126	0.97899	0.65912	1.8029	1.15993	2.11793	0.75928	1.98384	0.52504	1.14539	0.36833
Sam	10514	Sam	M	rep1	21	0.33441	1.27302	0.32471	1.15024	0.23909	1.09046	0.35218	0.93699	0.40226	0.98061	0.50565	1.105	0.63651	1.25686	0.76898	1.02261	0.74151	0.95476	1.03877	0.79806	0.98384	0.64297	1.84329	1.15347	2.15024	0.76413	2.02423	0.52988	1.17932	0.33925
Sam	10514	Sam	M	rep1	18	0.33117	1.31179	0.31825	1.18901	0.22778	1.11793	0.33602	0.96122	0.38772	1.00807	0.50888	1.12923	0.63166	1.29402	0.73828	1.04523	0.7189	0.97899	1.03877	0.81098	0.96445	0.67043	1.8239	1.15831	2.11308	0.77382	1.97899	0.54119	1.17124	0.35864
Sam	10514	Sam	M	rep1	14	0.38449	1.3231	0.36833	1.1987	0.27948	1.14539	0.38125	0.98869	0.43295	1.02907	0.54119	1.14701	0.68174	1.29079	0.78998	1.05331	0.76251	0.98707	1.08723	0.80613	1.00969	0.65751	1.84975	1.15024	2.147	0.75928	2.01776	0.52504	1.18255	0.36025
Sam	10514	Sam	M	rep1	10	0.31663	1.28594	0.30694	1.15993	0.22455	1.09369	0.33441	0.94345	0.38125	0.99192	0.49919	1.11308	0.6155	1.26817	0.7609	1.02907	0.7302	0.96768	1.05977	0.79644	0.97576	0.64781	1.8336	1.16155	2.13893	0.77867	2.01615	0.53796	1.1777	0.34894
Sam	10514	Sam	M	rep1	7	0.29402	1.27625	0.28756	1.1567	0.20355	1.09208	0.31825	0.93861	0.3651	0.98061	0.46526	1.11146	0.59612	1.26817	0.73828	1.03554	0.7092	0.96768	1.06623	0.8029	0.98222	0.65751	1.81421	1.18578	2.13247	0.80613	2.021	0.57512	1.17608	0.36348
Sam	10514	Sam	M	rep1	3	0.32633	1.2924	0.31663	1.16801	0.23101	1.09854	0.34087	0.9483	0.38933	0.99676	0.50565	1.12116	0.63004	1.27786	0.74959	1.03715	0.73667	0.9693	1.04523	0.81421	0.98061	0.65751	1.81583	1.17447	2.13085	0.8029	2.00807	0.5525	1.17285	0.37479
Sam	10514	Sam	M	rep1	20	0.33279	1.26332	0.32633	1.14539	0.2504	1.07915	0.36025	0.93699	0.4071	0.98061	0.50888	1.11146	0.6252	1.25686	0.75928	1.03392	0.73667	0.9693	1.05815	0.81906	0.98869	0.67043	1.76251	1.20193	2.09208	0.84006	1.98545	0.60743	1.17447	0.39256
Sam	10514	Sam	M	rep1	17	0.36025	1.27625	0.35379	1.15347	0.26655	1.09046	0.36833	0.93861	0.42487	0.97899	0.52827	1.10823	0.66074	1.26332	0.7819	1.02746	0.75444	0.95799	1.07108	0.80129	1.00161	0.65912	1.85137	1.15508	2.14377	0.78029	2.03069	0.54927	1.22293	0.35056
Sam	10514	Sam	M	rep1	13	0.38287	1.29886	0.37479	1.17608	0.28594	1.11631	0.38772	0.96122	0.43457	1.00484	0.54765	1.126	0.68012	1.2714	0.79806	1.03877	0.77221	0.97415	1.09854	0.8029	1.00807	0.66074	1.8449	1.15508	2.16801	0.75605	2.03553	0.52342	1.18578	0.35541
Sam	10514	Sam	M	rep1	2	0.36025	1.28755	0.35056	1.16155	0.2714	1.09692	0.38125	0.95314	0.42487	0.99515	0.53473	1.11954	0.65589	1.27302	0.79321	1.03715	0.76413	0.97092	1.063	0.81583	0.98869	0.66882	1.81744	1.17285	2.13085	0.78029	2.00646	0.54442	1.18739	0.36995
Sam	10514	Sam	M	rep1	16	0.33764	1.29079	0.32956	1.16639	0.24394	1.10177	0.35864	0.95638	0.40549	0.99838	0.50888	1.11954	0.63651	1.27463	0.77059	1.04038	0.74313	0.97415	1.07431	0.80613	0.98707	0.65751	1.81259	1.17447	2.13085	0.78513	1.99999	0.54442	1.17608	0.36187
Sam	10514	Sam	M	rep1	12	0.34571	1.29402	0.32956	1.17124	0.23747	1.1147	0.34087	0.96122	0.39256	0.99676	0.50888	1.12116	0.64135	1.26817	0.75444	1.0323	0.7302	0.96607	1.05169	0.79644	0.97415	0.64458	1.83521	1.126	2.12762	0.73667	2.00161	0.51211	1.16155	0.34248
Sam	10514	Sam	M	rep1	9	0.35056	1.30371	0.34087	1.18093	0.26009	1.12116	0.36187	0.96768	0.41357	1.00969	0.52827	1.13247	0.64943	1.28271	0.78029	1.04523	0.75605	0.98222	1.07754	0.81906	0.99999	0.66235	1.82552	1.18255	2.1567	0.79159	2.04038	0.55573	1.19224	0.36833
Sam	10514	Sam	M	rep1	5	0.32471	1.27463	0.32148	1.15024	0.23909	1.08077	0.34894	0.93376	0.40064	0.97415	0.50888	1.10177	0.63166	1.26171	0.7609	1.02423	0.74151	0.95638	1.06623	0.79967	0.98061	0.65751	1.84167	1.16316	2.1567	0.77221	2.0323	0.53634	1.19386	0.35379
Sam	10514	Sam	M	rep1	22	0.35541	1.28432	0.34733	1.15993	0.26332	1.09854	0.3651	0.94991	0.41518	0.99676	0.52019	1.11631	0.65104	1.26494	0.77382	1.02746	0.74474	0.96445	1.05654	0.79806	0.98061	0.65589	1.79321	1.14216	2.105	0.7609	1.98707	0.53311	1.16962	0.35702
Sam	10514	Sam	M	rep2	1	0.36714	1.27375	0.34782	1.15458	0.26408	1.09661	0.36392	0.93719	0.4235	0.97584	0.52817	1.09983	0.66344	1.24154	0.7826	1.00966	0.75362	0.94846	1.07729	0.77938	1.00482	0.62801	1.85345	1.11271	2.14975	0.72946	2.01932	0.50885	1.19967	0.33172
Sam	10514	Sam	M	rep2	3	0.32206	1.26086	0.30917	1.13848	0.22544	1.07246	0.3446	0.91787	0.39613	0.95974	0.48631	1.09822	0.61835	1.24959	0.7504	1.01932	0.72946	0.95168	1.07407	0.7826	0.98872	0.62801	1.82447	1.14492	2.13365	0.75684	1.99194	0.52334	1.19162	0.33655
Sam	10514	Sam	M	rep2	4	0.38647	1.2818	0.36553	1.16424	0.28019	1.09661	0.38808	0.93719	0.44122	0.97584	0.5475	1.10788	0.68276	1.25281	0.80193	1.00966	0.77133	0.94524	1.09339	0.76972	1.00643	0.62479	1.84218	1.09822	2.13687	0.69726	2.0016	0.47342	1.19323	0.32206
Sam	10514	Sam	M	rep2	5	0.32367	1.2351	0.30273	1.12077	0.22705	1.05313	0.35104	0.90338	0.40418	0.94685	0.49114	1.0789	0.61352	1.22866	0.75845	1.0016	0.7359	0.93397	1.06924	0.7826	0.99516	0.63123	1.80354	1.17874	2.13848	0.80032	2.02576	0.57648	1.19484	0.34299
