Background,Genotype1,Genotype2,Sex,Replicate,Scale,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,"	X6",Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,CSize
sam,sam,sam,m,rep1,0.007,0.04515588,-0.11729422,0.22203314,-0.03204127,0.23801855,0.01668407,0.1509597,0.09319423,-0.11446696,0.06377842,-0.19180523,0.05085703,-0.01484377,-0.05648208,-0.00323512,-0.01779527,-0.08566402,-0.00124268,-0.08361074,0.01741027,-0.14592379,0.02210006,-0.16642743,-0.00957438,-0.19449868,-0.01672171,-0.1818087,-0.06669759,-0.14836032,-0.10356672,-0.10205699,-0.12448216,-0.05227556,-0.12875087,-0.00382998,-0.12504502,0.08939207,-0.10800246,0.13903953,-0.09243726,0.18372747,-0.06851807,0.23537054,-0.00773378,0.21860717,0.05345867,0.18757315,0.07759299,0.10325903,0.10186175,0.05663408,0.10241396,0.00668869,0.09727998,-0.05449178,0.08628666,-0.15002829,0.03497562,-0.19272859,0.0276898,0.01772495,-0.08224594,-0.06127198,-0.03622393,-0.11190736,-0.02116878,0.1492874,-0.02301694,0.07200481,-0.01651277,-0.04591734,-0.01030673,-0.13763567,0.00311834,0.17777377,0.02906995,0.12017222,0.03290012,0.05435161,0.03164981,-0.01608437,0.02733196,-0.11172594,0.0191281,0.09907138,0.07728983,0.04602369,0.06867595,-0.01334589,0.05865786,-0.07161879,0.04464387,-0.15051622,0.06575058,-0.0067893,-0.03793927,636.1464123
sam,sam,sam,m,rep1,0.007,0.04789303,-0.11756256,0.2212395,-0.03028032,0.23704778,0.01542493,0.15501632,0.09241942,-0.11791253,0.06027156,-0.18969916,0.0512655,-0.01616218,-0.05570366,-0.00596655,-0.01650813,-0.08943084,0.00260358,-0.08726057,0.0170211,-0.14363412,0.02102553,-0.16644951,-0.00909076,-0.19701028,-0.01669014,-0.18070496,-0.06646976,-0.14777959,-0.10336794,-0.1017118,-0.12412247,-0.05211921,-0.12908498,-0.00364594,-0.12586684,0.08941248,-0.10838942,0.13870962,-0.09208387,0.18282994,-0.06770358,0.23366101,-0.00753616,0.21900177,0.05361195,0.18809869,0.0782702,0.10323611,0.10118636,0.05675997,0.10072368,0.00710154,0.0947563,-0.05376815,0.0835122,-0.15090346,0.03685294,-0.19236469,0.02648984,0.01927203,-0.08223426,-0.06155162,-0.0366961,-0.11265085,-0.02149046,0.14786194,-0.02167224,0.07057377,-0.01521733,-0.04708347,-0.0081261,-0.13888739,0.00439635,0.1785765,0.0299756,0.12077265,0.03221934,0.05473058,0.03148366,-0.01602169,0.02792874,-0.11251502,0.01840967,0.10246365,0.07826549,0.0492458,0.06909516,-0.01037779,0.05830419,-0.06892011,0.04391734,-0.15107893,0.06348474,-0.00789427,-0.0370183,592.799124
sam,sam,sam,m,rep1,0.007,0.04703454,-0.11825738,0.2222899,-0.0309843,0.23807022,0.02450787,0.15360151,0.09381598,-0.11164032,0.06202679,-0.18990419,0.0521949,-0.01597361,-0.05651435,-0.00696437,-0.0194672,-0.08921543,0.00129741,-0.08763103,0.01653,-0.14863743,0.02165677,-0.16410709,-0.00739222,-0.19556022,-0.01263839,-0.1819329,-0.06590344,-0.14809346,-0.10270332,-0.10163921,-0.12272967,-0.05214654,-0.12916582,-0.00345387,-0.12642886,0.08971528,-0.10839275,0.13882595,-0.09146263,0.18298873,-0.06733191,0.23550353,-0.00841523,0.22147372,0.05416561,0.19026235,0.0793107,0.10460111,0.10063242,0.05823142,0.09937044,0.00868713,0.0929896,-0.05207604,0.08170829,-0.15015278,0.03834591,-0.19182642,0.03016097,0.01901665,-0.08317676,-0.06065008,-0.03780259,-0.111035,-0.02190439,0.1485591,-0.02042385,0.07094815,-0.01606384,-0.0476239,-0.01032664,-0.13885506,0.00521137,0.17669173,0.0308449,0.11864227,0.03174288,0.05226943,0.03013646,-0.01880067,0.02614939,-0.11532713,0.01854723,0.1003966,0.07870763,0.04698356,0.06733949,-0.01293677,0.0547456,-0.07240336,0.04142827,-0.14730954,0.0626253,-0.00889643,-0.03870665,562.202584
sam,sam,sam,m,rep1,0.007,0.04593173,-0.11619068,0.2231599,-0.02978652,0.23927097,0.01711086,0.1582958,0.0910713,-0.11872198,0.05709795,-0.18969789,0.0486464,-0.01776973,-0.0525217,-0.00999962,-0.01663798,-0.09231126,0.00127097,-0.09019533,0.0158358,-0.14777089,0.02041985,-0.16800772,-0.00794054,-0.19607033,-0.01569643,-0.17780036,-0.06451462,-0.14519466,-0.10069625,-0.09962114,-0.11984498,-0.05096302,-0.12557277,-0.00294152,-0.12319862,0.08970674,-0.10708328,0.13877007,-0.09102102,0.1829847,-0.06727431,0.23561941,-0.00799956,0.22008824,0.05491981,0.18844767,0.07896463,0.1036288,0.09967162,0.05760013,0.09908605,0.00821984,0.09380185,-0.05227321,0.08320114,-0.14890127,0.03736212,-0.19212393,0.02415055,0.01790022,-0.08026798,-0.06281124,-0.03421436,-0.11419023,-0.01976624,0.14779257,-0.02252002,0.07015125,-0.01536197,-0.04834742,-0.01003782,-0.14008456,0.00367515,0.18158586,0.0291854,0.12269728,0.03028707,0.05522661,0.02974764,-0.01697711,0.02664333,-0.11642185,0.01793431,0.1048043,0.07820486,0.05042259,0.06830143,-0.01032665,0.05594595,-0.07024664,0.04137808,-0.15111377,0.05945887,-0.01142137,-0.03522538,548.1593624
sam,sam,sam,m,rep1,0.007,0.04839246,-0.11685512,0.22274665,-0.03149507,0.23707754,0.02039085,0.15312304,0.0926641,-0.11200601,0.06520164,-0.18930311,0.05053471,-0.0144726,-0.05665864,-0.01045324,-0.01706595,-0.09060708,0.00142475,-0.0882019,0.01723131,-0.14364677,0.02067793,-0.16811712,-0.00995157,-0.19538925,-0.0167188,-0.18125716,-0.06723379,-0.14781873,-0.10424357,-0.10121504,-0.12457257,-0.05151963,-0.12839622,-0.00313561,-0.12475992,0.09017457,-0.10840792,0.13989036,-0.09301149,0.1845793,-0.069018,0.23508189,-0.00770556,0.21935604,0.05328107,0.18860302,0.07789007,0.10390148,0.10084306,0.05739884,0.10083944,0.00757835,0.09560444,-0.05356854,0.08507401,-0.15026904,0.03643743,-0.19149709,0.02629057,0.01961278,-0.08188927,-0.06176783,-0.03682969,-0.11343626,-0.0216555,0.14766317,-0.02193286,0.07014425,-0.01581442,-0.04784163,-0.01022822,-0.13929396,0.00281419,0.17536711,0.02894827,0.11776568,0.03169011,0.05186311,0.03137644,-0.0187696,0.02821046,-0.11354294,0.01862979,0.10319774,0.076479,0.04986004,0.0690055,-0.00975554,0.05908078,-0.06844096,0.04563855,-0.14792674,0.06543381,-0.01012405,-0.03724814,629.1469373
sam,sam,sam,m,rep1,0.007,0.04697321,-0.11504498,0.22669986,-0.03091945,0.24149234,0.0193229,0.15161213,0.09238814,-0.1218571,0.05277086,-0.18772122,0.05082758,-0.01842777,-0.05218313,-0.01031823,-0.01513085,-0.09091268,0.00082103,-0.08961615,0.01585653,-0.14411743,0.01986122,-0.16798753,-0.00728338,-0.19675311,-0.01179074,-0.18090933,-0.06627486,-0.1455675,-0.1009292,-0.09991863,-0.12030506,-0.05112711,-0.12540689,-0.00309005,-0.12222647,0.08991714,-0.10702567,0.13967385,-0.0927159,0.18490822,-0.06994222,0.2386228,-0.00947234,0.2211313,0.05443963,0.18911367,0.0779625,0.10441072,0.0994165,0.05827996,0.09883557,0.00887923,0.09292223,-0.0516368,0.0817233,-0.14777534,0.03513354,-0.19120454,0.02667763,0.01785884,-0.07949023,-0.06327475,-0.03309285,-0.11469464,-0.01789156,0.15029957,-0.02242481,0.0719915,-0.01511587,-0.04734019,-0.01013191,-0.13962441,0.00351905,0.17867766,0.02877892,0.12015751,0.03192795,0.05315386,0.03149433,-0.01862546,0.02797933,-0.11458414,0.01749933,0.10018035,0.0762016,0.04736984,0.06700774,-0.0116882,0.0561219,-0.06977883,0.04205051,-0.15149265,0.05765033,-0.01135979,-0.03439176,549.3315124
sam,sam,sam,m,rep1,0.007,0.04579457,-0.11668978,0.22263742,-0.031807,0.23843405,0.02003294,0.16099381,0.09033151,-0.12081533,0.05859225,-0.18879949,0.04810456,-0.01854697,-0.05253465,-0.00773942,-0.01651228,-0.09132397,0.00185962,-0.08993494,0.01735522,-0.14974201,0.01887326,-0.16589361,-0.00852712,-0.19382324,-0.01788351,-0.17800819,-0.06520683,-0.14475709,-0.10113322,-0.09942248,-0.12155364,-0.05038326,-0.12658794,-0.00224945,-0.12366794,0.09062256,-0.10774921,0.14004769,-0.09230813,0.1845034,-0.06849765,0.23567968,-0.00800281,0.22044628,0.05376444,0.18932876,0.07807194,0.10476638,0.10041776,0.05851806,0.10032879,0.00896735,0.09510726,-0.05183437,0.0847056,-0.14871268,0.03775758,-0.19055716,0.02501728,0.01768264,-0.08074304,-0.06212293,-0.03397142,-0.11285592,-0.01893506,0.14828257,-0.02242023,0.07096421,-0.01620003,-0.04673171,-0.00974968,-0.13813959,0.0040039,0.17591975,0.028112,0.11751701,0.03087874,0.05068353,0.03076632,-0.02094527,0.02757026,-0.11725575,0.01798036,0.10577336,0.07692246,0.05039866,0.06808822,-0.01160117,0.05718705,-0.07250481,0.04256483,-0.15251407,0.06162518,-0.01074687,-0.03533814,577.5760162
sam,sam,sam,m,rep1,0.007,0.04382483,-0.12090227,0.22209322,-0.03496188,0.238,0.02073473,0.14960062,0.09631372,-0.11849589,0.05965501,-0.18809253,0.05234646,-0.01896976,-0.05508733,-0.00661972,-0.0177136,-0.08840656,0.00093278,-0.08631777,0.01568947,-0.14667383,0.02006062,-0.16486615,-0.00803116,-0.19535313,-0.01790463,-0.17719161,-0.06390741,-0.1457128,-0.10080208,-0.10035163,-0.12085757,-0.05146255,-0.1286628,-0.00270546,-0.12755526,0.09085379,-0.11025182,0.14040767,-0.09356234,0.18518941,-0.06931855,0.23690866,-0.00794702,0.21952766,0.05337099,0.18925795,0.078615,0.10460831,0.10425333,0.05771363,0.10394859,0.00790936,0.09726597,-0.05286228,0.08491302,-0.14994423,0.03753316,-0.19081923,0.02596382,0.01881188,-0.08218623,-0.06214612,-0.03463379,-0.11331845,-0.01895549,0.14873572,-0.02224951,0.07131976,-0.01575524,-0.04610217,-0.00848663,-0.13789503,0.00369164,0.17652817,0.02777659,0.11885156,0.03049016,0.05281838,0.03047359,-0.01791026,0.02654204,-0.11360618,0.01740169,0.09971274,0.07866315,0.04679974,0.0682063,-0.0124111,0.05604863,-0.07100323,0.04236751,-0.15055205,0.06401645,-0.00968331,-0.0375418,543.8931895
sam,sam,sam,m,rep1,0.007,0.05059436,-0.12003776,0.22321687,-0.03100507,0.23697909,0.02095717,0.15108399,0.09139142,-0.11760266,0.06176814,-0.1883385,0.05119186,-0.01724928,-0.05607911,-0.00719628,-0.01753933,-0.0904648,0.0021079,-0.08827983,0.01674145,-0.14673358,0.02108953,-0.16568201,-0.00784627,-0.19379034,-0.01675796,-0.17806881,-0.06504893,-0.1461426,-0.10219058,-0.10032897,-0.12215572,-0.05118885,-0.12866001,-0.00259332,-0.12728039,0.09110987,-0.11154857,0.14076465,-0.09486619,0.18490897,-0.06953388,0.23518713,-0.0081069,0.21901571,0.05209671,0.18809235,0.07577403,0.10449486,0.10033018,0.05806583,0.10187613,0.00806559,0.09819907,-0.05341959,0.08842258,-0.14961069,0.03721801,-0.19035348,0.02607784,0.02088093,-0.08407783,-0.06071173,-0.03595772,-0.11224738,-0.01964166,0.14880196,-0.02233732,0.07144703,-0.01599631,-0.046319,-0.00918876,-0.13801587,0.00337661,0.17559038,0.02867884,0.11777038,0.03150796,0.05154717,0.03212131,-0.01941121,0.02864834,-0.11504018,0.01853144,0.09949504,0.07861744,0.04631845,0.06976063,-0.01309063,0.05848818,-0.07173679,0.04502356,-0.15013599,0.0634309,-0.00967825,-0.03757095,578.386579
sam,sam,sam,m,rep1,0.007,0.04107509,-0.1187697,0.22419467,-0.03379051,0.2423027,0.01784785,0.1496926,0.09311212,-0.11928503,0.05882305,-0.18950286,0.04926163,-0.02109954,-0.05297485,-0.0118771,-0.01573118,-0.08899183,0.00270932,-0.08800397,0.01706016,-0.14456139,0.01985062,-0.16489528,-0.00966811,-0.19236964,-0.01647758,-0.17773305,-0.06494587,-0.14459399,-0.10069456,-0.09944487,-0.12088897,-0.05060278,-0.12702829,-0.00235372,-0.1248753,0.09060191,-0.10856847,0.14005634,-0.09293404,0.18480193,-0.0694445,0.23875788,-0.00979155,0.22177741,0.0543009,0.18969064,0.07784653,0.10494878,0.10007819,0.05865989,0.10034637,0.00903688,0.095455,-0.051856,0.08511928,-0.14739315,0.03551087,-0.19057842,0.0245976,0.0153026,-0.08148091,-0.06388502,-0.03514225,-0.11404593,-0.02084639,0.14843252,-0.02299935,0.07095862,-0.01541443,-0.04684458,-0.0100105,-0.13819988,0.00290033,0.18004189,0.02939904,0.1214866,0.03339007,0.05440391,0.03324738,-0.01750925,0.03029315,-0.1138012,0.01795088,0.09787099,0.07908198,0.04542253,0.06936329,-0.01329604,0.05786844,-0.07115254,0.04378673,-0.15119071,0.05825015,-0.01444863,-0.03497363,542.2525578
