Unique_ID,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30
G9_F_C_01_L,G9,F,C,1,L,2.276514865,0.822645706,0.250400104,0.069678593,0.238773495,0.022739231,0.266636237,-0.009889644,0.206380979,-0.05426817,0.197715036,-0.030995132,0.173181184,0.023399045,0.138217308,0.087681469,0.052226734,0.02137481,0.053259996,-0.004093163,-0.080907666,-0.030380247,-0.075025221,-0.095742473,-0.30883518,0.168757119,-0.481586131,0.051456355,-0.458019554,-0.035247171,-0.172417321,-0.184470621
G9_F_C_01_R,G9,F,C,1,R,2.277409399,0.823038569,0.249457839,0.069311612,0.240908387,0.023907152,0.266116934,-0.00954396,0.206120725,-0.052925727,0.197572905,-0.031734847,0.17069713,0.024085793,0.137997081,0.088702939,0.056606611,0.021456356,0.055164964,-0.004524475,-0.083964011,-0.033763655,-0.074490133,-0.09763104,-0.313346467,0.167645516,-0.478318554,0.053465511,-0.456343854,-0.03331691,-0.174179557,-0.185134266
G9_F_C_02_L,G9,F,C,2,L,2.595360795,0.953725542,0.249031706,0.068794515,0.239153548,0.022489743,0.269359437,-0.011143065,0.207001667,-0.054086791,0.197611406,-0.031619852,0.168249278,0.025237826,0.141464941,0.086073584,0.061997602,0.020812305,0.064726934,-0.003661913,-0.089120439,-0.027675874,-0.086218178,-0.09513154,-0.319356856,0.161086438,-0.4768604,0.049898717,-0.454392485,-0.03229998,-0.172648161,-0.178774114
G9_F_C_02_R,G9,F,C,2,R,2.589920765,0.951627283,0.247962402,0.069104288,0.24065033,0.022743754,0.267584791,-0.011974554,0.207577529,-0.05335098,0.198615528,-0.031942886,0.168010023,0.02482835,0.140681402,0.087228914,0.065154397,0.021358041,0.065819665,-0.002540743,-0.091471689,-0.026916043,-0.088607892,-0.094972464,-0.316578999,0.160091415,-0.475679331,0.048250633,-0.45561729,-0.031003923,-0.174100867,-0.180903801
G9_F_C_03_L,G9,F,C,3,L,2.775775991,1.020930345,0.250185781,0.068721125,0.24058513,0.023121326,0.266983041,-0.00807795,0.207826373,-0.055086529,0.1966758,-0.032499,0.170279216,0.025102048,0.135127782,0.086093248,0.066370269,0.019882778,0.068912167,-0.003549805,-0.085960186,-0.030228317,-0.087655495,-0.099400211,-0.328911406,0.157128226,-0.473484455,0.049275205,-0.452875109,-0.024281089,-0.174058908,-0.176201054
G9_F_C_03_R,G9,F,C,3,R,2.805210136,1.031478451,0.250364032,0.068986449,0.241459358,0.023710057,0.26733214,-0.008258921,0.207714844,-0.052179145,0.199176378,-0.031649524,0.169231438,0.024490958,0.134253044,0.08425712,0.06906241,0.017978236,0.072436116,-0.004234578,-0.093930531,-0.031056976,-0.088145008,-0.098390002,-0.329212162,0.153999768,-0.474005609,0.049373694,-0.450893665,-0.022279902,-0.174842783,-0.174747234
G9_F_C_04_L,G9,F,C,4,L,2.650453804,0.974730872,0.252763241,0.066769814,0.242925826,0.022736632,0.268895677,-0.010378959,0.21008983,-0.052175076,0.200814792,-0.030546886,0.16955593,0.025131629,0.13857745,0.081994248,0.054566319,0.021121949,0.05573563,-0.00296709,-0.089300235,-0.030538599,-0.083961389,-0.095096043,-0.321330126,0.161192936,-0.476912165,0.04965118,-0.452475664,-0.029466391,-0.16994512,-0.177429346
G9_F_C_04_R,G9,F,C,4,R,2.646992714,0.973424171,0.251445177,0.068978806,0.242955963,0.023331632,0.266640651,-0.010215116,0.211613773,-0.054056403,0.202650671,-0.030114326,0.168009629,0.024075201,0.13736847,0.084865297,0.053913831,0.020560533,0.055652467,-0.004872424,-0.08563925,-0.031634533,-0.084676183,-0.096329177,-0.320396171,0.161261393,-0.475248505,0.049942578,-0.45580652,-0.027085533,-0.168484002,-0.178707928
G9_F_C_05_L,G9,F,C,5,L,2.438137112,0.891234269,0.252063447,0.069495515,0.238120497,0.020989119,0.269310014,-0.010210253,0.208775526,-0.054685167,0.196953468,-0.031091358,0.171115268,0.024713457,0.139141631,0.086600825,0.060727919,0.022280636,0.062130163,-0.002438399,-0.094292929,-0.029445934,-0.085294324,-0.09718197,-0.319691549,0.162675187,-0.475648,0.047409182,-0.452095985,-0.028241267,-0.171315145,-0.180869572
G9_F_C_05_R,G9,F,C,5,R,2.45169892,0.896781221,0.251147557,0.070781745,0.243229434,0.024549295,0.270413422,-0.008556099,0.20943712,-0.055380009,0.196692194,-0.032592475,0.169539275,0.025609665,0.138207566,0.088907869,0.057043651,0.020559504,0.059247778,-0.00372376,-0.095010078,-0.032484255,-0.084591939,-0.100842877,-0.317070745,0.16361674,-0.473285202,0.049172102,-0.451315096,-0.027438659,-0.173684937,-0.182178784
