genotype	sex	side	microscope	magnification	ID	dimensions	Scale	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	X16	Y16	X17	Y17	X18	Y18	X19	Y19	X20	Y20	X21	Y21	X22	Y22	X23	Y23	X24	Y24	X25	Y25	X26	Y26	X27	Y27	X28	Y28	X29	Y29	X30	Y30	X31	Y31	X32	Y32	X33	Y33	X34	Y34	X35	Y35	X36	Y36	X37	Y37	X38	Y38	X39	Y39	X40	Y40	X41	Y41	X42	Y42	X43	Y43	X44	Y44	X45	Y45	X46	Y46	X47	Y47	X48	Y48	CentroidSize
egfr	F	L	lei	2X	74	600x449	0.0099	-0.04844127	-0.11430768	-0.22194057	-0.03203717	-0.23933187	0.01461538	-0.15560809	0.08821073	0.11920682	0.06175248	0.19293802	0.05184269	0.01927561	-0.0549757	0.00670575	-0.01673119	0.08955774	0.00122532	0.08762647	0.0186259	0.14239651	0.02075857	0.16817688	-0.00830478	0.19476032	-0.01982214	0.18008143	-0.06724057	0.14579712	-0.10263434	0.09998276	-0.12238339	0.05104411	-0.12593378	0.00337896	-0.122212	-0.09007723	-0.10604023	-0.14032597	-0.0907439	-0.18528119	-0.06683925	-0.2357156	-0.00803063	-0.21990269	0.05239641	-0.18846391	0.07486685	-0.1051148	0.09764991	-0.05884004	0.09895518	-0.00930452	0.09522703	0.05251053	0.08600136	0.14836159	0.03756303	0.19354818	0.02784742	-0.01857706	-0.07942014	0.06464958	-0.03658955	0.11567612	-0.02122507	-0.14847725	-0.02171741	-0.0711027	-0.01591577	0.04749109	-0.00961144	0.13970679	0.00423569	-0.17708039	0.02573591	-0.1194226	0.0303691	-0.05370952	0.0313227	0.01685439	0.02928035	0.11256221	0.01916291	-0.10240137	0.07669851	-0.04867607	0.06849317	0.01127556	0.05900143	0.07051724	0.04498037	0.15321232	0.06268268	0.01050062	-0.03678496	5.0191464745
egfr	F	L	lei	2X	106	600x449	0.0099	-0.05611577	-0.11448293	-0.21933636	-0.03169501	-0.2348742	0.01860954	-0.16121457	0.08658644	0.11976821	0.06197548	0.19020737	0.05433382	0.01606351	-0.05650469	0.00446688	-0.01624215	0.09052997	0.00114932	0.08869391	0.01914694	0.1458219	0.0211498	0.16720129	-0.00661429	0.19679823	-0.02052571	0.18092821	-0.06830998	0.1471125	-0.10497441	0.10032016	-0.12481049	0.05084049	-0.12843444	0.00290708	-0.12454566	-0.0905591	-0.1067531	-0.14051455	-0.09023967	-0.18485243	-0.06555263	-0.23269594	-0.00664098	-0.21818632	0.05064008	-0.18829819	0.07434277	-0.10523836	0.09796382	-0.05884863	0.09913022	-0.00919728	0.09532971	0.05280971	0.08629803	0.15013534	0.03961732	0.1922402	0.03124479	-0.02280022	-0.08171153	0.06165147	-0.03774742	0.1134345	-0.0214343	-0.14705892	-0.02221741	-0.07025641	-0.01628724	0.04777843	-0.00906734	0.1394769	0.00533238	-0.17322272	0.02697416	-0.11592349	0.03006647	-0.05072909	0.03068581	0.01917832	0.02867189	0.11480525	0.02010513	-0.10629449	0.07432162	-0.05089554	0.06694285	0.01086743	0.05826908	0.07221774	0.04589573	0.15263575	0.06718802	0.0082218	-0.03717985	5.183952017
egfr	F	L	lei	2X	107	600x449	0.0099	-0.05134768	-0.11710111	-0.22292491	-0.03046723	-0.23826714	0.01909122	-0.14834386	0.09098676	0.1142901	0.06505721	0.18960452	0.05382884	0.01948769	-0.05554317	0.00694672	-0.0176053	0.08870088	0.00041723	0.08741492	0.01880769	0.14401394	0.02134383	0.16669199	-0.007008	0.1949132	-0.01880399	0.18166719	-0.06825255	0.14681799	-0.10369787	0.1007822	-0.12438428	0.05127707	-0.12969149	0.00302693	-0.126317	-0.09072385	-0.10802418	-0.14077617	-0.09102283	-0.18537149	-0.06624566	-0.23573595	-0.00771132	-0.21981532	0.05171151	-0.18894988	0.07490848	-0.10542547	0.09836021	-0.05892166	0.09951444	-0.00916874	0.09556697	0.05287825	0.08622101	0.15006108	0.0390067	0.19118389	0.03222014	-0.02044217	-0.08178476	0.06335045	-0.03702938	0.1145455	-0.0203281	-0.14900356	-0.02243583	-0.07172101	-0.01719565	0.04699468	-0.01049079	0.13877435	0.00493787	-0.17607249	0.02742297	-0.11846244	0.03020594	-0.05283977	0.02999894	0.01753193	0.02785324	0.11337402	0.01980975	-0.09919591	0.07368083	-0.04594078	0.06715795	0.01317964	0.05833421	0.07178383	0.04540309	0.14935827	0.06676275	0.01079904	-0.03746927	5.1191072926
egfr	M	L	lei	2X	135	600x449	0.0099	-0.04616237	-0.11625466	-0.21989229	-0.03355899	-0.23611667	0.01738621	-0.15976891	0.08888574	0.11651323	0.06300924	0.19234886	0.05030188	0.01617764	-0.055856	0.0046146	-0.01787213	0.09049784	0.00038468	0.08904853	0.01908724	0.14562238	0.02076277	0.16629719	-0.00823235	0.19337751	-0.02151347	0.17968592	-0.06664924	0.14617811	-0.10283655	0.10036851	-0.12364538	0.05102871	-0.12742704	0.00313888	-0.12370063	-0.09062397	-0.10741633	-0.14093365	-0.09143445	-0.18562588	-0.06673565	-0.23410279	-0.00723104	-0.21876793	0.05083481	-0.18902181	0.07506066	-0.10580115	0.10047736	-0.05912068	0.10170816	-0.00935111	0.09736732	0.05255815	0.08720986	0.14876934	0.03830581	0.19265176	0.02915454	-0.01895793	-0.08028567	0.06209477	-0.03633142	0.11231905	-0.02077928	-0.14758634	-0.0235297	-0.07079018	-0.01722794	0.04717221	-0.01003398	0.13897362	0.00386701	-0.17449139	0.02689241	-0.11705693	0.0303969	-0.05154731	0.03090257	0.01869202	0.02875549	0.11464211	0.01955753	-0.10406903	0.07728294	-0.04912636	0.06855649	0.01222307	0.05884003	0.07289069	0.04470194	0.15266351	0.06670075	0.00836646	-0.03783842	4.674828135
mam	F	L	lei	2X	85	600x449	0.0099	-0.04226686	-0.11750747	-0.22225085	-0.03483421	-0.24029592	0.01775515	-0.15299349	0.09058632	0.11805703	0.06134578	0.18880966	0.05172755	0.02103683	-0.05290138	0.01003473	-0.0161029	0.08884268	0.00140507	0.08729714	0.01700594	0.14950335	0.02084029	0.16931647	-0.00842166	0.19028005	-0.02509375	0.17861967	-0.06778426	0.14269173	-0.10089254	0.09746627	-0.11994362	0.04913083	-0.12557478	0.00146613	-0.12328397	-0.09211901	-0.10803653	-0.14237526	-0.09206641	-0.18717049	-0.06747976	-0.23779319	-0.00830987	-0.22100162	0.05202039	-0.19012466	0.07524759	-0.10677336	0.09901862	-0.0604023	0.1000747	-0.01090702	0.0957944	0.05073851	0.08604518	0.14734589	0.03898901	0.18924285	0.02909525	-0.01522495	-0.08040334	0.0658927	-0.03409051	0.11682437	-0.01973891	-0.14799505	-0.02385366	-0.07124572	-0.01657099	0.04635093	-0.00949227	0.13768058	0.00390014	-0.17743743	0.02577796	-0.11927064	0.02972585	-0.05303048	0.03118699	0.01810967	0.02872298	0.1155556	0.01889531	-0.09966034	0.07729047	-0.04510918	0.068564	0.01560329	0.05797899	0.07587544	0.04430079	0.15101695	0.06452777	0.01265849	-0.03543971	4.449414473
mam	F	L	lei	2X	120	600x449	0.0099	-0.04425255	-0.11676326	-0.22248021	-0.03093671	-0.23753447	0.01855309	-0.15304084	0.091704	0.11725604	0.06195931	0.19115688	0.05300018	0.01480976	-0.05721649	0.00341033	-0.01777394	0.0891192	0.00190839	0.08701324	0.01723829	0.14579091	0.02094872	0.16868135	-0.00721846	0.19440588	-0.01904219	0.18120058	-0.06681788	0.14655525	-0.10205131	0.1006722	-0.12160199	0.05172866	-0.126221	0.00384061	-0.12337481	-0.09012927	-0.10813651	-0.14072913	-0.09265355	-0.18574383	-0.06805063	-0.23445271	-0.00808526	-0.22089624	0.0522358	-0.19016458	0.07664711	-0.10570084	0.09929948	-0.05921446	0.09929917	-0.00973957	0.09411691	0.05188432	0.08377669	0.14929771	0.03922019	0.19214874	0.03100689	-0.01826635	-0.08036935	0.06328538	-0.03710372	0.11386502	-0.02126312	-0.14980838	-0.02080929	-0.0724742	-0.01568091	0.04636171	-0.00914953	0.13862707	0.00503949	-0.17544343	0.02679685	-0.11793724	0.03009954	-0.05247155	0.0303744	0.01768059	0.02729402	0.11391754	0.0188408	-0.10066338	0.07655151	-0.04679384	0.06724179	0.01325125	0.0569494	0.07300953	0.04417842	0.1513988	0.0641071	0.00756854	-0.03806764	4.7762984778
mam	M	L	lei	2X	116	600x449	0.0099	-0.05026859	-0.11885275	-0.21886315	-0.03356088	-0.23452112	0.01711782	-0.15586624	0.08970504	0.11498444	0.06715064	0.18903891	0.05571833	0.01417218	-0.0570729	0.00394231	-0.0177681	0.09078749	0.00188008	0.08870725	0.01908313	0.15101185	0.02173081	0.16620248	-0.00797052	0.19012223	-0.02642056	0.18021542	-0.06896061	0.14501028	-0.1039054	0.09909727	-0.12419506	0.04982441	-0.12971945	0.00163355	-0.12689475	-0.09230497	-0.10977213	-0.14257062	-0.09273443	-0.18662478	-0.06666782	-0.23276141	-0.00641085	-0.21815302	0.04990819	-0.18896195	0.07414544	-0.10627248	0.10043552	-0.05953502	0.10221086	-0.00961235	0.0983666	0.05261055	0.08890744	0.14997974	0.04048037	0.18935398	0.03182954	-0.02173333	-0.08268209	0.06079236	-0.03720765	0.11220395	-0.02137091	-0.14679072	-0.02488954	-0.07077083	-0.01825578	0.04618096	-0.00990989	0.13688378	0.00465751	-0.17258352	0.02614372	-0.11508345	0.0298325	-0.04965384	0.03086217	0.02052631	0.02889706	0.11648889	0.0214778	-0.10096055	0.07748651	-0.04559645	0.06946039	0.01605866	0.05948262	0.07712043	0.04555858	0.15004422	0.07103163	0.0064945	-0.03833822	4.6284463671
samw	F	L	lei	2X	7	600x449	0.0099	-0.05044982	-0.11823703	-0.22173893	-0.02712161	-0.23398009	0.02285865	-0.15942926	0.08686579	0.11840252	0.06246528	0.18901925	0.053114	0.01478419	-0.05784079	0.00189836	-0.01785973	0.0896633	0.00088119	0.08763953	0.01783196	0.1445965	0.02042239	0.16802175	-0.00864049	0.19642007	-0.01210048	0.18165875	-0.066444	0.14853629	-0.10364919	0.10206404	-0.12413134	0.05254379	-0.13024221	0.00413302	-0.12741675	-0.08962437	-0.10898588	-0.1394787	-0.09152692	-0.1835194	-0.06621012	-0.23179017	-0.00779712	-0.21871217	0.05004831	-0.18848289	0.07372113	-0.1053465	0.0982391	-0.05884079	0.0997637	-0.00908748	0.09605036	0.05293815	0.0867196	0.14966663	0.03897087	0.1916629	0.02981871	-0.02111142	-0.08280011	0.06195373	-0.03821342	0.11344405	-0.02207234	-0.14938974	-0.02095929	-0.07224792	-0.0167112	0.04652362	-0.01000026	0.13867936	0.00429062	-0.1723271	0.0286313	-0.11543208	0.03100714	-0.05060013	0.03140448	0.01885873	0.02835021	0.11364793	0.01879855	-0.10500168	0.07728682	-0.05022021	0.06924881	0.01077106	0.05907177	0.07133461	0.04580856	0.15122458	0.06575576	0.00672415	-0.03846477	5.1224040914
samw	F	L	lei	2X	8	600x449	0.0099	-0.04587303	-0.11676043	-0.22284026	-0.02864307	-0.23492329	0.02156341	-0.15738586	0.08772697	0.1165409	0.06511852	0.18927765	0.05405026	0.0158918	-0.05663721	0.00332837	-0.01786715	0.09001742	0.00162547	0.08708996	0.01825765	0.14599083	0.02225317	0.1685298	-0.00762752	0.19338832	-0.02240379	0.18288981	-0.06967547	0.14738802	-0.10509529	0.10062908	-0.12449961	0.05128521	-0.12786598	0.00338664	-0.12413178	-0.09047332	-0.10801272	-0.14094346	-0.09228314	-0.18567588	-0.06739403	-0.23330218	-0.00729005	-0.21857717	0.0507385	-0.18829039	0.07423589	-0.10508165	0.09820589	-0.05859064	0.09976817	-0.00880382	0.09635523	0.05339196	0.08750841	0.15021924	0.0388228	0.19055516	0.03029	-0.01809738	-0.08113643	0.06327657	-0.03649286	0.11413902	-0.02102915	-0.14968435	-0.02258464	-0.07259393	-0.01756374	0.04592787	-0.00998412	0.13775085	0.00470602	-0.17325085	0.02801279	-0.11613684	0.03024055	-0.05122999	0.030316	0.01842638	0.02842948	0.11376534	0.02026612	-0.10402134	0.07457076	-0.0491952	0.06789592	0.01184251	0.05920282	0.07214993	0.04558292	0.15057723	0.06734389	0.00731495	-0.03810941	5.0857789258
samw	F	L	lei	2X	80	600x449	0.0099	-0.04867029	-0.11613576	-0.22235245	-0.02909987	-0.2360421	0.02058339	-0.15803925	0.08739434	0.11949611	0.06206322	0.19146042	0.05218837	0.01613327	-0.0560099	0.00421913	-0.01755659	0.08933175	0.00214053	0.08752753	0.01868286	0.14666745	0.02173064	0.16948749	-0.00687275	0.19214259	-0.01956558	0.18176602	-0.06822178	0.14679824	-0.10368527	0.10043079	-0.1232714	0.05127292	-0.12747766	0.00342709	-0.12413459	-0.09011737	-0.10755976	-0.14023438	-0.09144663	-0.18474325	-0.06683733	-0.23352383	-0.00791806	-0.21930221	0.05094862	-0.18867125	0.07429448	-0.10539197	0.09753099	-0.05907915	0.0986911	-0.00952773	0.09487555	0.05230192	0.08580453	0.14991497	0.040327	0.19167183	0.02995147	-0.01899373	-0.08128456	0.06326281	-0.03596536	0.11477461	-0.02019845	-0.14934213	-0.0214605	-0.07225891	-0.01627401	0.04623697	-0.00954684	0.13812582	0.00476906	-0.17440287	0.02725074	-0.11710506	0.02995863	-0.0518225	0.03051437	0.01821562	0.0282681	0.11439736	0.02003529	-0.10432068	0.07580187	-0.04944682	0.06783641	0.0116866	0.0580221	0.07222244	0.04433405	0.15281879	0.06420317	0.00759741	-0.03767822	5.1862525357
