genotype	sex	side	microscope	magnification	ID	dimensions	Scale	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	X16	Y16	X17	Y17	X18	Y18	X19	Y19	X20	Y20	X21	Y21	X22	Y22	X23	Y23	X24	Y24	X25	Y25	X26	Y26	X27	Y27	X28	Y28	X29	Y29	X30	Y30	X31	Y31	X32	Y32	X33	Y33	X34	Y34	X35	Y35	X36	Y36	X37	Y37	X38	Y38	X39	Y39	X40	Y40	X41	Y41	X42	Y42	X43	Y43	X44	Y44	X45	Y45	X46	Y46	X47	Y47	X48	Y48	CentroidSize
egfr	F	L	oly	2X	1	750x565	0.0077	 -0.05072564	 -0.11656371	 -0.22603628	 -0.02829433	 -0.23611945	  0.01602406	 -0.15811340	  0.08793355	  0.11419125	  0.06219341	  0.18907287	  0.05301269	  0.02107772	 -0.05437493	  0.00661705	 -0.01570833	  0.08534425	 -0.00161986	  0.08421609	  0.01669470	  0.15751334	  0.02111300	  0.16416701	 -0.00610655	  0.19371711	 -0.01048256	  0.18482807	 -0.06428475	  0.14898306	 -0.09977946	  0.10138371	 -0.11964551	  0.05136339	 -0.12761776	  0.00175885	 -0.12597924	 -0.09074132	 -0.10569095	 -0.13945118	 -0.08881494	 -0.18468317	 -0.06650526	 -0.23435741	 -0.00869376	 -0.21950283	  0.05030917	 -0.18971256	  0.07412003	 -0.10607414	  0.09762489	 -0.05978860	  0.09855315	 -0.01076330	  0.09466516	  0.05184692	  0.08499075	  0.14789487	  0.03774967	  0.19080282	  0.02936101	 -0.01913311	 -0.08192709	  0.06293271	 -0.03705042	  0.11330534	 -0.02065310	 -0.15127416	 -0.02101039	 -0.07381386	 -0.01670546	  0.04451125	 -0.01118167	  0.13685252	  0.00411354	 -0.17679504	  0.02699985	 -0.11945585	  0.02993437	 -0.05295871	  0.02968709	  0.01899487	  0.02764378	  0.11741594	  0.01784410	 -0.10177907	  0.07466811	 -0.04562263	  0.06681552	  0.01785829	  0.05660331	  0.07994748	  0.04157578	  0.14908722	  0.06449188	  0.01121767	 -0.03603255	4.5197573363
egfr	F	L	oly	2X	13	750x565	0.0077	 -0.04826478	 -0.11452829	 -0.22229152	 -0.03182386	 -0.23880505	  0.01477000	 -0.15280650	  0.08829737	  0.11664664	  0.06157690	  0.19358650	  0.05111293	  0.01834798	 -0.05497282	  0.00513252	 -0.01600608	  0.08634228	  0.00138794	  0.08379591	  0.01799701	  0.15541301	  0.02226478	  0.16448252	 -0.00560471	  0.19265586	 -0.01433476	  0.18222303	 -0.06345278	  0.14888279	 -0.10058258	  0.10135858	 -0.12081260	  0.05111905	 -0.12455623	  0.00203215	 -0.12141567	 -0.09131183	 -0.10656862	 -0.14107264	 -0.09232159	 -0.18615509	 -0.06837863	 -0.23465010	 -0.00870240	 -0.22110785	  0.05213137	 -0.18954571	  0.07417117	 -0.10575491	  0.09656588	 -0.05956621	  0.09776095	 -0.01058257	  0.09390226	  0.05200245	  0.08424615	  0.14876307	  0.03844457	  0.19326093	  0.02821725	 -0.01800718	 -0.08060575	  0.06251020	 -0.03673739	  0.11253865	 -0.02104157	 -0.14931997	 -0.02152124	 -0.07230997	 -0.01585721	  0.04533853	 -0.00860408	  0.13760234	  0.00494380	 -0.17996314	  0.02726284	 -0.12262828	  0.03023841	 -0.05617479	  0.03018397	  0.01570373	  0.02763909	  0.11410530	  0.01962284	 -0.09869005	  0.07354943	 -0.04369409	  0.06665183	  0.01837926	  0.05695317	  0.07876216	  0.04136411	  0.15249323	  0.06351921	  0.00922358	 -0.03634636	4.5556597698
egfr	F	L	oly	2X	14	750x565	0.0077	 -0.04782448	 -0.11305684	 -0.22201090	 -0.03236215	 -0.23877384	  0.01318377	 -0.16076247	  0.08586922	  0.11670404	  0.06153095	  0.19399584	  0.04880869	  0.02009998	 -0.05433991	  0.00269184	 -0.01603068	  0.08764383	 -0.00012509	  0.08556343	  0.01838045	  0.15499768	  0.01972834	  0.16440823	 -0.00768725	  0.19189306	 -0.01240578	  0.18319240	 -0.06345650	  0.14972425	 -0.10115950	  0.10170589	 -0.12159311	  0.05126908	 -0.12564542	  0.00230208	 -0.12157907	 -0.09012373	 -0.10358073	 -0.13891802	 -0.08797888	 -0.18365483	 -0.06530879	 -0.23608856	 -0.00921397	 -0.21821654	  0.05021231	 -0.18820850	  0.07319021	 -0.10538042	  0.09778010	 -0.05918011	  0.09905021	 -0.01025374	  0.09491243	  0.05219005	  0.08492933	  0.14801388	  0.03768346	  0.19325592	  0.02726861	 -0.01742529	 -0.07939582	  0.06328808	 -0.03702117	  0.11291090	 -0.02183776	 -0.14960578	 -0.02162325	 -0.07260731	 -0.01540879	  0.04518842	 -0.00902890	  0.13778552	  0.00328170	 -0.17917746	  0.02546718	 -0.12169951	  0.02961016	 -0.05494109	  0.03064044	  0.01728382	  0.02816786	  0.11585201	  0.01909378	 -0.10418664	  0.07592648	 -0.04798912	  0.06837468	  0.01555425	  0.05788099	  0.07768836	  0.04273167	  0.15287819	  0.06244289	  0.00894731	 -0.03630654	4.848542154
egfr	F	L	oly	2X	15	750x565	0.0077	 -0.04515787	 -0.11664368	 -0.22386492	 -0.03071148	 -0.23916549	  0.01735251	 -0.15248014	  0.09057821	  0.11520535	  0.06103403	  0.19198758	  0.05211539	  0.02303081	 -0.05382724	  0.00836714	 -0.01695302	  0.08587389	  0.00040526	  0.08295716	  0.01820581	  0.15656261	  0.02126747	  0.16347314	 -0.00467341	  0.19113948	 -0.01287968	  0.18021280	 -0.06222621	  0.14782225	 -0.09976375	  0.10092828	 -0.12186264	  0.05038724	 -0.12711949	  0.00110765	 -0.12375860	 -0.09199231	 -0.10680297	 -0.14117137	 -0.09094315	 -0.18583428	 -0.06708092	 -0.23582403	 -0.00910542	 -0.22192845	  0.05161984	 -0.19144841	  0.07563354	 -0.10691078	  0.09735965	 -0.06068205	  0.09752581	 -0.01177319	  0.09312135	  0.05069401	  0.08342223	  0.14741785	  0.03828533	  0.19170763	  0.03066150	 -0.01577811	 -0.08137877	  0.06397942	 -0.03639507	  0.11310755	 -0.02007747	 -0.14930815	 -0.02194111	 -0.07215394	 -0.01654022	  0.04583623	 -0.00971288	  0.13781508	  0.00483585	 -0.17969659	  0.02779479	 -0.12223981	  0.03045700	 -0.05562026	  0.03008082	  0.01642084	  0.02744408	  0.11520389	  0.02001208	 -0.09790779	  0.07462447	 -0.04287824	  0.06611768	  0.01917481	  0.05516669	  0.07990654	  0.03982060	  0.15063904	  0.06198016	  0.01285789	 -0.03652497	4.3125972128
egfr	F	L	oly	2X	16	750x565	0.0077	 -0.05080907	 -0.11571853	 -0.22291046	 -0.02748183	 -0.23599366	  0.01845551	 -0.15318995	  0.08883040	  0.11544190	  0.06240201	  0.19231845	  0.05410700	  0.01302556	 -0.05798417	  0.00037507	 -0.01747124	  0.08541718	  0.00047296	  0.08291403	  0.01836422	  0.15673983	  0.02356943	  0.16478199	 -0.00328841	  0.19411356	 -0.00927254	  0.18454874	 -0.06435118	  0.15077283	 -0.10188503	  0.10302180	 -0.12399168	  0.05198468	 -0.12882638	  0.00252283	 -0.12485007	 -0.09063795	 -0.10675697	 -0.13984124	 -0.09072863	 -0.18429685	 -0.06647221	 -0.23289973	 -0.00814474	 -0.21932932	  0.05089050	 -0.18903849	  0.07431038	 -0.10512911	  0.09705265	 -0.05880986	  0.09785743	 -0.00972012	  0.09385908	  0.05304280	  0.08438584	  0.14933091	  0.03719076	  0.19298461	  0.03058692	 -0.02087310	 -0.08169419	  0.06043152	 -0.03747932	  0.11107140	 -0.02045187	 -0.15069963	 -0.02149159	 -0.07356904	 -0.01733575	  0.04468122	 -0.00906938	  0.13718719	  0.00555677	 -0.17626527	  0.02606184	 -0.11944630	  0.02877853	 -0.05348095	  0.02889938	  0.01789567	  0.02727919	  0.11536848	  0.02026967	 -0.10018869	  0.07231493	 -0.04476108	  0.06563338	  0.01773384	  0.05629810	  0.07903166	  0.04255885	  0.15154806	  0.06748815	  0.00360405	 -0.03872819	4.898950682
egfr	F	L	oly	2X	17	750x565	0.0077	 -0.05094269	 -0.11483692	 -0.22334066	 -0.03240513	 -0.24027981	  0.01459709	 -0.15276544	  0.08892394	  0.11623551	  0.06198390	  0.18991784	  0.05191899	  0.01911095	 -0.05381152	  0.00861185	 -0.01573663	  0.08788491	  0.00070002	  0.08632480	  0.01756759	  0.15805497	  0.02194177	  0.16516506	 -0.00751664	  0.19266517	 -0.01408233	  0.18102923	 -0.06311553	  0.14629089	 -0.09842828	  0.09967529	 -0.11934908	  0.04975621	 -0.12544865	  0.00066921	 -0.12270935	 -0.09224119	 -0.10615211	 -0.14144000	 -0.09074236	 -0.18622680	 -0.06717689	 -0.23668806	 -0.00918632	 -0.22131915	  0.05136023	 -0.19052127	  0.07406951	 -0.10697938	  0.09669038	 -0.06089137	  0.09761092	 -0.01204654	  0.09360916	  0.05042314	  0.08423698	  0.14685250	  0.03849520	  0.19081783	  0.03029770	 -0.02010942	 -0.07983844	  0.06285276	 -0.03663726	  0.11379075	 -0.02167352	 -0.14885748	 -0.02240381	 -0.07179051	 -0.01606323	  0.04601390	 -0.00972810	  0.13782203	  0.00488805	 -0.17926278	  0.02557035	 -0.12119474	  0.02969474	 -0.05375946	  0.02966137	  0.01910698	  0.02667811	  0.11848422	  0.01977631	 -0.09775633	  0.07477875	 -0.04246002	  0.06642532	  0.01996457	  0.05562249	  0.08125150	  0.04112325	  0.15074715	  0.06431136	  0.01135390	 -0.03549138	4.2111906038
egfr	F	L	oly	2X	18	750x565	0.0077	 -0.05241379	 -0.11660863	 -0.21767598	 -0.03445803	 -0.23837781	  0.01887099	 -0.15988045	  0.08710840	  0.11386112	  0.06376590	  0.19200177	  0.05201158	  0.01688276	 -0.05508047	  0.00516633	 -0.01680122	  0.08676522	  0.00010099	  0.08428153	  0.01803559	  0.15485767	  0.02055578	  0.16464693	 -0.00839395	  0.19434980	 -0.01273729	  0.18317246	 -0.06287484	  0.15025389	 -0.10080792	  0.10220415	 -0.12077104	  0.05177120	 -0.12595066	  0.00233618	 -0.12434817	 -0.09102514	 -0.10739517	 -0.13959434	 -0.08987492	 -0.18313916	 -0.06466809	 -0.23511919	 -0.00913576	 -0.21987084	  0.05074293	 -0.18951558	  0.07396555	 -0.10591549	  0.09794030	 -0.05954145	  0.09901770	 -0.01043739	  0.09491930	  0.05227401	  0.08517770	  0.14870700	  0.03828581	  0.19284216	  0.02883709	 -0.02149766	 -0.08178027	  0.06099974	 -0.03765376	  0.11211903	 -0.02289125	 -0.14615595	 -0.02267081	 -0.07002790	 -0.01616187	  0.04614625	 -0.00920298	  0.13769829	  0.00286936	 -0.17796308	  0.02727717	 -0.12070541	  0.03023855	 -0.05423162	  0.03010335	  0.01767764	  0.02759634	  0.11547004	  0.01914280	 -0.10198592	  0.07699944	 -0.04617453	  0.06826714	  0.01698907	  0.05751392	  0.07893351	  0.04276614	  0.15030717	  0.06486482	  0.00853376	 -0.03670755	4.6156022431
egfr	F	L	oly	2X	19	750x565	0.0077	 -0.04459430	 -0.11824404	 -0.22295056	 -0.02673583	 -0.23697558	  0.02144545	 -0.15476225	  0.08830641	  0.11434701	  0.06380982	  0.19061701	  0.05324042	  0.01904760	 -0.05547271	  0.00411138	 -0.01769939	  0.08608062	  0.00077098	  0.08357960	  0.01818921	  0.15699825	  0.02177410	  0.16296005	 -0.00531665	  0.19061209	 -0.01343372	  0.18473477	 -0.06472889	  0.14890453	 -0.10090893	  0.10116081	 -0.12084804	  0.05106017	 -0.12882867	  0.00154670	 -0.12555477	 -0.09181782	 -0.10846373	 -0.14144084	 -0.09300237	 -0.18528419	 -0.06727491	 -0.23276535	 -0.00834129	 -0.22164653	  0.05152414	 -0.19048991	  0.07451324	 -0.10625067	  0.09642442	 -0.05997365	  0.09739597	 -0.01089404	  0.09376827	  0.05191890	  0.08479269	  0.14862249	  0.03828146	  0.19061533	  0.03054337	 -0.01743170	 -0.08171478	  0.06250869	 -0.03707404	  0.11192501	 -0.02083292	 -0.14965300	 -0.02092042	 -0.07292180	 -0.01705672	  0.04474770	 -0.00993588	  0.13614605	  0.00568451	 -0.17753749	  0.02725868	 -0.12029996	  0.02883492	 -0.05388703	  0.02879458	  0.01795081	  0.02679884	  0.11669467	  0.02042100	 -0.09949807	  0.07486412	 -0.04399314	  0.06705594	  0.01868562	  0.05669730	  0.08019084	  0.04238095	  0.15007277	  0.06639689	  0.00922840	 -0.03757900	4.5051116061
egfr	F	L	oly	2X	20	750x565	0.0077	 -0.04567947	 -0.11685870	 -0.22187407	 -0.03247951	 -0.23858807	  0.01540025	 -0.15599722	  0.08908407	  0.11939104	  0.06165000	  0.19116176	  0.05071557	  0.02061598	 -0.05533497	  0.00913855	 -0.01638247	  0.08594549	  0.00020009	  0.08352530	  0.01848062	  0.15034476	  0.02069619	  0.16473955	 -0.00800142	  0.19089959	 -0.01200871	  0.18093771	 -0.06238870	  0.14890721	 -0.10036813	  0.10171487	 -0.12256288	  0.05097721	 -0.12793094	  0.00157798	 -0.12449927	 -0.09146504	 -0.10668730	 -0.14046723	 -0.09031920	 -0.18494544	 -0.06628327	 -0.23566840	 -0.00890889	 -0.21997314	  0.05074133	 -0.18992265	  0.07434506	 -0.10626464	  0.09859498	 -0.05984546	  0.09968759	 -0.01072473	  0.09561255	  0.05199944	  0.08593863	  0.14879609	  0.03911971	  0.19106274	  0.02702580	 -0.01693433	 -0.08149516	  0.06334071	 -0.03757392	  0.11280654	 -0.02174975	 -0.14798661	 -0.02213053	 -0.07112734	 -0.01617376	  0.04597964	 -0.00939719	  0.13796766	  0.00334159	 -0.17855210	  0.02618215	 -0.12158784	  0.03031708	 -0.05539157	  0.03074898	  0.01619579	  0.02804715	  0.11333111	  0.01926778	 -0.10024823	  0.07722596	 -0.04582588	  0.06854918	  0.01588969	  0.05848848	  0.07622729	  0.04357846	  0.15289256	  0.06301675	  0.01270320	 -0.03652132	4.323315003
egfr	F	L	oly	2X	21	750x565	0.0077	 -0.04801738	 -0.11447993	 -0.22226567	 -0.03022662	 -0.23745374	  0.01721933	 -0.16073014	  0.08611572	  0.11612488	  0.06111273	  0.19085087	  0.05149293	  0.01690313	 -0.05402260	  0.00527478	 -0.01605978	  0.08668189	  0.00062743	  0.08427709	  0.01830331	  0.15585555	  0.02089823	  0.16613925	 -0.00719852	  0.19472148	 -0.01496881	  0.18347478	 -0.06450211	  0.14944412	 -0.10162216	  0.10154572	 -0.12201005	  0.05109544	 -0.12607480	  0.00199079	 -0.12235232	 -0.09098034	 -0.10549724	 -0.14007565	 -0.08993177	 -0.18459047	 -0.06619691	 -0.23433731	 -0.00852534	 -0.21962380	  0.05089362	 -0.18921550	  0.07396230	 -0.10557507	  0.09656027	 -0.05937897	  0.09753305	 -0.01037417	  0.09380194	  0.05229771	  0.08452378	  0.14810866	  0.03669411	  0.19280882	  0.02988772	 -0.01893859	 -0.07927433	  0.06256895	 -0.03577609	  0.11327006	 -0.02093129	 -0.14894797	 -0.02139905	 -0.07193048	 -0.01567176	  0.04585505	 -0.00897762	  0.13810192	  0.00449855	 -0.17737702	  0.02606389	 -0.12019340	  0.02951122	 -0.05376326	  0.03007615	  0.01809054	  0.02760556	  0.11611811	  0.01936356	 -0.10427811	  0.07365749	 -0.04792433	  0.06649521	  0.01581042	  0.05687909	  0.07815184	  0.04223953	  0.15147806	  0.06539839	  0.00893147	 -0.03571601	4.8129374092
