genotype	sex	side	microscope	magnification	ID	Scale	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11	X12	Y12	X13	Y13	X14	Y14	X15	Y15	X16	Y16	X17	Y17	X18	Y18	X19	Y19	X20	Y20	X21	Y21	X22	Y22	X23	Y23	X24	Y24	X25	Y25	X26	Y26	X27	Y27	X28	Y28	X29	Y29	X30	Y30	X31	Y31	X32	Y32	X33	Y33	X34	Y34	X35	Y35	X36	Y36	X37	Y37	X38	Y38	X39	Y39	X40	Y40	X41	Y41	X42	Y42	X43	Y43	X44	Y44	X45	Y45	X46	Y46	X47	Y47	X48	Y48	CentroidSize
egfr	F	L	oly	4X	1	0.00704	-0.04947487	-0.11514712	-0.22418971	-0.02677279	-0.23840826	0.0183006	-0.15403162	0.08994239	0.11442473	0.06109635	0.19122978	0.05062113	0.01871812	-0.05597913	0.00931322	-0.01583947	0.08563843	-0.00062338	0.08521973	0.01677985	0.15451101	0.02087578	0.16669493	-0.00742491	0.19120657	-0.01392821	0.18388959	-0.06724587	0.1472091	-0.10192376	0.09989882	-0.12235288	0.04943208	-0.12758137	0.000094	-0.12368669	-0.09291449	-0.10522043	-0.14183945	-0.0890277	-0.18608101	-0.0646667	-0.23496816	-0.00675138	-0.22062154	0.05272723	-0.18970065	0.07573226	-0.10552264	0.09797689	-0.05921583	0.09826055	-0.01019157	0.09343958	0.05204358	0.0830128	0.14828638	0.03619206	0.19122162	0.02794968	-0.01899423	-0.08041631	0.06357638	-0.03763018	0.11420355	-0.02151802	-0.1495085	-0.02004262	-0.07237735	-0.01632953	0.04565595	-0.00991854	0.13746294	0.00448003	-0.17779867	0.02790228	-0.11992185	0.03084243	-0.0533684	0.03007212	0.01871979	0.02755514	0.11758381	0.0182483	-0.09881721	0.07582104	-0.04362446	0.06728253	0.01804667	0.0565491	0.0786863	0.04165678	0.15040845	0.06385043	0.00819494	-0.03714036	4.542
egfr	F	L	oly	4X	10	0.00704	-0.05399816	-0.1147043	-0.22286469	-0.02612476	-0.23632453	0.02178959	-0.15527654	0.08909968	0.11828731	0.05980301	0.18958129	0.05072617	0.01858648	-0.05673118	0.01187197	-0.0160618	0.08638598	0.0000385	0.08467945	0.01762515	0.14576073	0.02248679	0.16815963	-0.00790979	0.19611668	-0.0127494	0.18420685	-0.06697306	0.14943255	-0.10374453	0.10155913	-0.12485092	0.05046791	-0.12918947	0.00088858	-0.12476788	-0.09238315	-0.10552657	-0.14136243	-0.08893359	-0.1854805	-0.06415187	-0.2334529	-0.00588761	-0.21959672	0.05266824	-0.18879209	0.0756428	-0.10454965	0.09773682	-0.05812099	0.09826342	-0.00885611	0.09393663	0.05374908	0.08405727	0.15047971	0.03667216	0.19195117	0.02770852	-0.02002937	-0.08236973	0.06327177	-0.03829191	0.11484808	-0.02205618	-0.1478113	-0.0202072	-0.07058025	-0.01564628	0.0476665	-0.01038493	0.1395009	0.00428836	-0.17617872	0.02887918	-0.11986161	0.0307042	-0.05511967	0.02986789	0.01502957	0.02772996	0.11124622	0.01845364	-0.10204576	0.07526936	-0.04817641	0.06712622	0.01204913	0.05710628	0.07136271	0.04322392	0.15180492	0.06328641	0.01191725	-0.0369272	4.853
egfr	F	L	oly	4X	100	0.00704	-0.05393797	-0.11601122	-0.22257496	-0.0267452	-0.23512061	0.02411977	-0.1555902	0.08849508	0.11668025	0.06225854	0.19175061	0.05396538	0.01676025	-0.05599566	0.00594665	-0.01680263	0.08953228	-0.00057069	0.08709597	0.0189865	0.14786393	0.02049067	0.16419116	-0.00861484	0.19413951	-0.01357648	0.18345404	-0.06657417	0.14964971	-0.10394461	0.10172467	-0.1248603	0.05068866	-0.12985304	0.00098094	-0.12594569	-0.09238077	-0.10664463	-0.14123595	-0.08948468	-0.18525091	-0.0645001	-0.23318759	-0.0063195	-0.21918725	0.05188772	-0.18871677	0.07516554	-0.10450465	0.09709623	-0.0581001	0.09766531	-0.00882649	0.09359142	0.05387256	0.08415806	0.1507284	0.03690749	0.19429272	0.02927345	-0.02261459	-0.08136673	0.06044469	-0.03854105	0.11133676	-0.02234446	-0.14875914	-0.02023618	-0.07147038	-0.01625859	0.04699215	-0.01136341	0.13901124	0.00314821	-0.17482426	0.02893817	-0.11840171	0.03031274	-0.05350928	0.02979279	0.01678571	0.02747888	0.11306966	0.01921852	-0.10134253	0.07557566	-0.04693801	0.06774998	0.01392427	0.05783995	0.0738136	0.04368972	0.15146134	0.0653949	0.01028242	-0.03664678	4.468
egfr	F	L	oly	4X	101	0.00704	-0.04952429	-0.11480737	-0.22425139	-0.02751039	-0.23791276	0.01933981	-0.15296084	0.08831505	0.12095985	0.05959505	0.19175834	0.05037168	0.01827991	-0.05502033	0.00690528	-0.01659333	0.08832248	0.00033339	0.08575017	0.01799961	0.14577035	0.02100898	0.16640287	-0.00803942	0.1950368	-0.01888603	0.18288441	-0.06695166	0.14778609	-0.10257776	0.10025919	-0.12163119	0.05001325	-0.12645903	0.00073782	-0.12302286	-0.09251392	-0.10533251	-0.14171719	-0.08948427	-0.18637511	-0.06521834	-0.23536125	-0.00625254	-0.2187725	0.05272118	-0.18764052	0.07467178	-0.10403943	0.09701167	-0.05776722	0.09820062	-0.0085497	0.09450988	0.0540895	0.08512749	0.15002498	0.03580482	0.19469884	0.02808851	-0.0192431	-0.07995393	0.06312129	-0.03711741	0.11383402	-0.02169111	-0.14975499	-0.02056904	-0.07217614	-0.0156658	0.04657247	-0.01021478	0.13902857	0.00389965	-0.17724168	0.02675396	-0.12072214	0.02966091	-0.05566339	0.03014204	0.01485264	0.0283565	0.11146121	0.01882646	-0.09996438	0.07442477	-0.04628878	0.06746301	0.01380255	0.05872945	0.07277844	0.04466585	0.15444914	0.06393558	0.00886031	-0.03695861	4.646
egfr	F	L	oly	4X	102	0.00704	-0.04819657	-0.11507433	-0.22340392	-0.02808627	-0.23865943	0.02027793	-0.15511956	0.0885252	0.11865138	0.06065434	0.19500017	0.04794617	0.0217854	-0.05357272	0.0084002	-0.01622912	0.08781568	0.0003083	0.08573096	0.01786839	0.14867097	0.0197601	0.16521916	-0.00845888	0.19201931	-0.01665831	0.18054875	-0.06553184	0.1470451	-0.10214389	0.0999195	-0.12282857	0.04942859	-0.12712435	0.0001821	-0.12319865	-0.09280267	-0.10505828	-0.14172215	-0.08889475	-0.18601145	-0.06456054	-0.23538857	-0.0066063	-0.22013813	0.05325677	-0.18879172	0.0754755	-0.10481504	0.09698658	-0.05862233	0.09768082	-0.00957146	0.09361235	0.05283806	0.08408286	0.14918521	0.03668568	0.19404645	0.02727616	-0.01750199	-0.08044791	0.06320494	-0.03648308	0.11338278	-0.02096266	-0.14889177	-0.02057401	-0.07154823	-0.01548859	0.04671931	-0.01006498	0.13896629	0.00382963	-0.17808893	0.02781529	-0.12101762	0.03022735	-0.05535571	0.03006481	0.01579368	0.02784524	0.11322186	0.01840498	-0.10134546	0.07391733	-0.04674408	0.06683963	0.01437416	0.05800319	0.07427196	0.04336392	0.15485351	0.06323251	0.01246132	-0.03589299	4.535
egfr	F	L	oly	4X	103	0.00704	-0.052697	-0.11605259	-0.22328007	-0.02680463	-0.23753044	0.01917794	-0.15269025	0.08952047	0.11639788	0.06313763	0.19231194	0.05132875	0.01819221	-0.05574805	0.00576472	-0.0172298	0.08791992	-0.00085543	0.08591813	0.01763805	0.15058162	0.02086322	0.16624628	-0.00903378	0.19509394	-0.01288859	0.18072079	-0.06478895	0.14687834	-0.10077986	0.10026919	-0.12200678	0.04986968	-0.12860448	0.00024923	-0.12546665	-0.09284192	-0.10613875	-0.14151948	-0.08886629	-0.1854729	-0.06397554	-0.2344832	-0.00627542	-0.21951276	0.05256835	-0.18875311	0.07536414	-0.10487497	0.09752462	-0.05860647	0.09832635	-0.00947211	0.09436053	0.0530475	0.08494252	0.14911584	0.03659132	0.19336568	0.02700512	-0.02059485	-0.08210153	0.06208366	-0.03832252	0.1133495	-0.02292066	-0.14935383	-0.02070888	-0.07186697	-0.01663309	0.04663708	-0.01012704	0.1391518	0.00321408	-0.17703758	0.02782426	-0.11985677	0.0305456	-0.05409126	0.0299158	0.01714455	0.02742484	0.11480806	0.01871536	-0.09895347	0.07491307	-0.04452679	0.06725244	0.01629417	0.05751353	0.07614895	0.04346969	0.15193146	0.06486602	0.00852409	-0.03767439	4.734
egfr	F	L	oly	4X	104	0.00704	-0.04629719	-0.11653822	-0.22233349	-0.03001843	-0.23822781	0.02076419	-0.15025637	0.091807	0.1172859	0.06303358	0.19231227	0.05067732	0.01928616	-0.0558133	0.00787802	-0.01749642	0.08791603	-0.00026181	0.08544518	0.01713891	0.14725042	0.02135458	0.16629061	-0.00874271	0.19159182	-0.01731462	0.18230457	-0.06623152	0.14722002	-0.10157682	0.10043205	-0.12285273	0.04985759	-0.12806635	0.00039126	-0.12423713	-0.09299858	-0.10629246	-0.14223835	-0.0901112	-0.18669591	-0.06532244	-0.23528189	-0.0062946	-0.22060762	0.05374669	-0.18954601	0.07701744	-0.10482663	0.09862521	-0.05839001	0.09889784	-0.00919112	0.09439941	0.05335625	0.08451757	0.14984863	0.03670016	0.19207485	0.02827083	-0.01703818	-0.08162414	0.06359581	-0.03737629	0.11380734	-0.02200235	-0.14834964	-0.02164666	-0.0713769	-0.01628542	0.04651682	-0.01101116	0.1380982	0.00377952	-0.17762638	0.02861552	-0.12080324	0.03092358	-0.05546987	0.0300632	0.01527174	0.0270061	0.11234931	0.01807342	-0.09859718	0.07592725	-0.0450926	0.06789745	0.0146343	0.05769648	0.07347956	0.0437153	0.15238005	0.06409961	0.01037024	-0.03763136	4.319
egfr	F	L	oly	4X	105	0.00704	-0.04802518	-0.11751124	-0.22027751	-0.02891773	-0.23627844	0.01975235	-0.15301264	0.09175588	0.11718928	0.06294767	0.1909931	0.05045803	0.01615775	-0.05896924	0.00824427	-0.01697455	0.08985745	0.0001646	0.08753487	0.01700406	0.14389021	0.02149715	0.16410187	-0.00870397	0.19450996	-0.01260975	0.182143	-0.06520035	0.14984337	-0.10332427	0.10209559	-0.12512178	0.05081255	-0.12957425	0.00100071	-0.12568426	-0.09287088	-0.10744471	-0.14215635	-0.09046429	-0.18600986	-0.06449899	-0.23291449	-0.00529423	-0.2200916	0.05329903	-0.18943783	0.07692689	-0.10471729	0.10008181	-0.05797208	0.10077953	-0.00846269	0.09640032	0.05440494	0.08618128	0.15020416	0.03566413	0.19229137	0.0271761	-0.01824685	-0.08359429	0.06188212	-0.03901935	0.11170106	-0.02263236	-0.14657568	-0.02129625	-0.06977661	-0.01684208	0.04768057	-0.01057869	0.139157	0.00377282	-0.17574433	0.02888891	-0.11962095	0.03150024	-0.05510005	0.03052691	0.01478371	0.02789398	0.11064281	0.01810433	-0.10037709	0.07747593	-0.0471285	0.06908154	0.01245448	0.05892209	0.0709621	0.0442941	0.15151421	0.06235724	0.00874439	-0.03865029	4.535
egfr	F	L	oly	4X	106	0.00704	-0.05392825	-0.11438914	-0.22139856	-0.02868582	-0.23610099	0.01861891	-0.15626633	0.08912835	0.11986209	0.06032213	0.1911702	0.05055003	0.0142441	-0.05699356	0.00224344	-0.01656358	0.08942394	-0.00009865	0.08766691	0.01760964	0.15016653	0.02150685	0.16620528	-0.00879778	0.19331158	-0.01384004	0.18387134	-0.06647282	0.14893325	-0.10282906	0.10141367	-0.12422603	0.05044543	-0.12881316	0.00096678	-0.12445592	-0.09206928	-0.10524492	-0.14097342	-0.0888341	-0.18519759	-0.06442958	-0.23329883	-0.0063007	-0.21906346	0.05202898	-0.18880344	0.07557981	-0.10468021	0.09816598	-0.05827473	0.09876355	-0.00906408	0.09453753	0.05352136	0.0848918	0.14970066	0.03651629	0.19190287	0.02851917	-0.02244125	-0.08070629	0.06121297	-0.03838473	0.112534	-0.02272004	-0.14856331	-0.02106039	-0.07169072	-0.01566584	0.04598535	-0.00988092	0.13778558	0.00382681	-0.17539742	0.02777876	-0.11847023	0.03076456	-0.0529809	0.03062376	0.01796047	0.02816468	0.11523762	0.01888112	-0.10151668	0.07529693	-0.04662277	0.06753912	0.01477643	0.05787444	0.07513926	0.04362224	0.15398038	0.06532988	0.007141	-0.03704825	4.72
egfr	F	L	oly	4X	107	0.00704	-0.05241234	-0.11555523	-0.22304791	-0.02934441	-0.23831262	0.01960744	-0.14977485	0.09066717	0.11568512	0.06259221	0.19212092	0.05163286	0.01818812	-0.05527258	0.00601064	-0.0177241	0.08746875	-0.00007601	0.08591801	0.01745468	0.14959495	0.02467453	0.1660573	-0.00805648	0.19391505	-0.01633203	0.18258704	-0.06661844	0.14768538	-0.10234105	0.10050608	-0.12306034	0.04990607	-0.12865791	0.00034793	-0.12498783	-0.09281015	-0.10578387	-0.14168753	-0.08893174	-0.18606937	-0.06447933	-0.23584695	-0.00642209	-0.21942287	0.05284326	-0.18860163	0.07565073	-0.10455593	0.09797679	-0.05817057	0.09862752	-0.00894765	0.09437191	0.05363364	0.08452948	0.14983083	0.03613111	0.19272586	0.02871656	-0.02065921	-0.08123786	0.06198326	-0.03733254	0.11308301	-0.02142226	-0.14920315	-0.0212476	-0.07183928	-0.01653813	0.04667072	-0.01058787	0.13874798	0.0041806	-0.17772616	0.02810719	-0.12053517	0.03064826	-0.05479807	0.02974354	0.01639816	0.02709639	0.11431261	0.01871527	-0.09726267	0.07444467	-0.04360056	0.06667843	0.0162874	0.05717517	0.07520758	0.04337363	0.15116113	0.06382545	0.00925111	-0.03745515	4.683
